temperature_c,humidity_pct,rainfall_mm,estimated_soil_moisture_pct,soil_type,growth_stage,irrigation_label
21.7,37.7,0.0,30.0,sandy,seedling,HIGH
18.6,35.9,0.0,63.0,sandy,flowering,MEDIUM
18.5,32.3,0.0,45.7,sandy,vegetative,MEDIUM
35.3,84.9,0.0,54.5,loamy,fruiting,MEDIUM
18.3,31.0,0.0,66.6,sandy,vegetative,MEDIUM
37.6,48.9,0.0,19.4,clay,fruiting,HIGH
31.2,55.5,0.0,45.6,sandy,fruiting,HIGH
39.5,81.0,0.0,17.1,loamy,vegetative,HIGH
21.3,83.4,0.0,53.5,sandy,seedling,MEDIUM
24.6,63.8,0.0,54.6,clay,fruiting,MEDIUM
32.4,71.6,0.0,34.3,loamy,fruiting,MEDIUM
22.0,76.7,0.0,33.4,loamy,fruiting,MEDIUM
35.3,45.8,31.6,53.7,clay,seedling,LOW
18.7,43.4,0.0,70.7,clay,seedling,LOW
20.6,30.3,0.0,62.7,sandy,fruiting,MEDIUM
37.2,73.6,0.0,41.3,clay,flowering,MEDIUM
22.4,62.9,4.4,68.6,sandy,vegetative,LOW
24.0,59.3,0.0,57.7,sandy,vegetative,MEDIUM
22.3,64.8,0.0,49.3,clay,fruiting,MEDIUM
38.7,84.1,0.0,34.0,sandy,fruiting,HIGH
19.8,73.7,0.0,76.0,sandy,flowering,LOW
25.7,68.8,0.0,51.1,loamy,vegetative,MEDIUM
40.5,80.9,0.0,82.1,sandy,fruiting,MEDIUM
39.0,93.9,4.0,37.2,clay,seedling,MEDIUM
26.5,45.1,0.0,48.5,sandy,seedling,HIGH
27.2,72.6,0.0,66.4,sandy,vegetative,MEDIUM
40.7,57.7,0.0,43.6,sandy,fruiting,HIGH
32.6,60.9,0.0,34.0,loamy,fruiting,HIGH
19.4,92.8,0.0,75.6,sandy,fruiting,LOW
34.7,35.8,0.0,72.0,sandy,vegetative,MEDIUM
20.2,86.4,37.2,84.9,loamy,seedling,LOW
33.7,63.6,0.0,44.2,loamy,flowering,HIGH
19.9,40.4,0.0,95.0,loamy,flowering,LOW
37.8,49.3,10.7,61.5,loamy,fruiting,MEDIUM
38.4,85.7,3.7,69.8,sandy,vegetative,MEDIUM
21.8,86.7,0.0,71.7,loamy,vegetative,LOW
21.9,82.3,0.0,53.4,sandy,seedling,MEDIUM
33.2,43.2,0.0,49.6,clay,flowering,MEDIUM
41.1,48.9,17.6,46.3,sandy,seedling,MEDIUM
25.2,74.6,0.8,40.4,clay,fruiting,MEDIUM
36.2,26.7,0.6,33.8,clay,vegetative,MEDIUM
24.6,94.8,2.4,33.6,sandy,seedling,MEDIUM
20.0,72.6,0.0,61.7,sandy,seedling,MEDIUM
28.1,69.7,0.0,43.8,clay,seedling,MEDIUM
23.1,27.2,0.0,56.2,clay,vegetative,LOW
36.5,84.1,0.0,46.6,loamy,seedling,HIGH
37.1,58.7,0.0,42.0,clay,vegetative,MEDIUM
19.5,65.7,0.0,41.9,clay,seedling,LOW
32.4,45.4,0.0,28.2,clay,seedling,MEDIUM
23.8,94.1,1.1,46.9,loamy,flowering,LOW
25.8,61.2,0.0,31.5,loamy,vegetative,MEDIUM
31.6,73.3,0.0,71.2,clay,flowering,LOW
18.8,90.5,10.4,74.4,sandy,flowering,LOW
26.1,82.0,13.9,95.0,loamy,vegetative,LOW
30.6,76.2,0.0,40.9,clay,flowering,MEDIUM
41.4,48.6,0.0,71.2,loamy,flowering,MEDIUM
23.5,94.7,4.9,49.3,sandy,seedling,LOW
38.8,75.9,0.0,45.7,loamy,seedling,HIGH
28.5,75.8,0.0,59.6,sandy,vegetative,LOW
39.9,39.7,0.0,50.0,clay,flowering,MEDIUM
22.3,41.6,0.0,59.8,sandy,flowering,MEDIUM
28.7,61.0,0.0,24.5,sandy,vegetative,HIGH
36.6,34.2,0.0,44.4,loamy,flowering,MEDIUM
26.1,83.0,2.4,45.0,sandy,fruiting,MEDIUM
18.9,76.5,9.7,76.3,clay,flowering,LOW
22.9,32.8,28.3,85.8,clay,seedling,LOW
25.6,60.5,39.7,95.0,clay,flowering,LOW
28.9,61.1,0.0,67.6,clay,seedling,LOW
22.8,72.1,0.0,46.6,sandy,flowering,MEDIUM
34.6,83.7,4.8,51.6,sandy,seedling,MEDIUM
18.7,90.2,3.6,82.3,clay,vegetative,LOW
20.6,71.0,0.0,55.8,loamy,flowering,MEDIUM
31.6,76.7,4.5,60.4,clay,vegetative,LOW
37.1,55.5,0.0,23.0,clay,flowering,MEDIUM
27.5,73.7,0.0,78.1,sandy,flowering,MEDIUM
32.9,57.4,0.0,20.3,clay,fruiting,MEDIUM
31.9,62.4,3.2,62.1,loamy,seedling,MEDIUM
23.8,89.9,0.0,19.5,sandy,fruiting,HIGH
24.8,46.5,4.1,35.5,loamy,seedling,MEDIUM
27.9,33.5,0.0,37.4,sandy,flowering,HIGH
31.6,43.0,0.0,48.3,sandy,flowering,HIGH
40.8,67.1,0.0,15.3,sandy,fruiting,HIGH
38.2,88.0,0.0,36.8,clay,fruiting,MEDIUM
34.0,31.7,0.0,56.0,clay,seedling,MEDIUM
23.2,31.7,0.0,40.0,sandy,seedling,HIGH
32.3,59.8,0.0,75.8,clay,vegetative,LOW
34.6,94.4,0.0,37.4,clay,seedling,MEDIUM
20.1,87.6,0.0,50.6,loamy,vegetative,LOW
19.6,81.0,1.6,15.4,loamy,vegetative,MEDIUM
26.0,71.9,5.0,40.7,sandy,flowering,MEDIUM
31.5,92.0,0.0,44.1,loamy,seedling,MEDIUM
36.1,49.3,0.0,23.6,loamy,vegetative,HIGH
41.8,89.9,2.9,45.7,clay,vegetative,LOW
21.1,82.8,0.0,35.9,clay,seedling,LOW
20.1,90.6,0.0,57.0,loamy,fruiting,MEDIUM
40.1,59.8,20.2,58.6,clay,vegetative,LOW
27.1,86.5,0.0,45.6,sandy,vegetative,MEDIUM
22.2,73.6,14.8,61.4,sandy,fruiting,LOW
32.6,78.5,0.0,34.5,sandy,vegetative,MEDIUM
18.6,34.5,0.0,51.2,clay,flowering,LOW
28.5,32.4,3.4,46.7,loamy,vegetative,MEDIUM
19.4,94.6,0.0,39.0,loamy,vegetative,LOW
34.6,29.4,2.8,63.6,clay,seedling,LOW
30.6,54.8,0.0,25.5,loamy,seedling,MEDIUM
37.9,76.4,0.0,32.5,loamy,vegetative,MEDIUM
30.8,40.1,7.4,52.1,sandy,fruiting,MEDIUM
20.6,63.4,0.0,42.0,loamy,flowering,MEDIUM
35.7,58.3,2.2,33.3,sandy,vegetative,HIGH
34.5,55.6,13.4,93.8,sandy,vegetative,LOW
33.8,87.7,0.0,53.0,loamy,flowering,MEDIUM
30.3,72.6,0.0,22.6,loamy,seedling,HIGH
26.4,79.2,0.0,70.5,loamy,flowering,LOW
24.4,26.5,0.9,25.1,clay,fruiting,MEDIUM
22.9,33.5,0.0,38.4,clay,flowering,MEDIUM
41.5,67.1,3.1,36.0,sandy,seedling,HIGH
40.3,40.7,2.2,38.6,loamy,vegetative,MEDIUM
39.3,70.2,13.2,48.9,clay,flowering,LOW
36.1,57.2,4.3,50.0,sandy,seedling,MEDIUM
41.6,90.6,0.7,31.1,clay,fruiting,MEDIUM
30.1,83.8,0.0,57.1,loamy,flowering,LOW
34.5,86.1,0.0,40.5,loamy,seedling,MEDIUM
37.2,39.3,0.0,64.2,loamy,vegetative,MEDIUM
31.3,25.4,0.0,44.0,loamy,seedling,HIGH
25.8,35.4,0.0,80.6,clay,fruiting,LOW
39.3,66.5,0.0,14.0,sandy,vegetative,HIGH
37.1,31.5,0.0,70.5,loamy,fruiting,HIGH
31.5,67.2,13.0,41.8,sandy,flowering,LOW
19.4,48.4,0.0,29.4,clay,flowering,MEDIUM
25.9,55.4,0.9,31.8,clay,seedling,MEDIUM
33.3,80.0,0.0,79.0,clay,flowering,MEDIUM
22.4,50.4,5.3,56.7,clay,flowering,LOW
25.2,90.8,9.3,66.6,clay,fruiting,LOW
29.0,58.8,0.0,77.5,loamy,fruiting,LOW
36.4,36.1,3.2,44.0,clay,flowering,MEDIUM
24.3,42.3,4.6,80.5,clay,vegetative,LOW
19.6,59.1,0.0,6.4,sandy,fruiting,HIGH
26.3,88.0,0.0,21.1,clay,fruiting,MEDIUM
35.5,93.7,0.0,52.1,clay,vegetative,LOW
32.6,49.5,0.0,49.0,clay,flowering,MEDIUM
30.6,33.0,4.4,35.3,loamy,seedling,MEDIUM
29.0,58.9,1.2,6.1,loamy,flowering,HIGH
33.6,63.2,0.0,33.2,sandy,fruiting,HIGH
22.0,48.1,10.2,52.9,clay,flowering,LOW
41.6,79.0,5.7,41.3,loamy,fruiting,HIGH
20.5,71.0,34.4,79.6,loamy,vegetative,LOW
24.9,80.5,0.0,51.2,clay,fruiting,MEDIUM
21.8,73.7,8.2,50.5,clay,vegetative,LOW
22.4,87.6,3.4,53.2,clay,seedling,LOW
41.2,54.2,0.0,36.9,loamy,flowering,HIGH
21.9,25.9,10.3,61.7,sandy,vegetative,LOW
22.5,85.1,0.0,73.7,clay,flowering,LOW
29.0,50.0,0.0,62.7,sandy,vegetative,MEDIUM
20.4,41.8,1.1,72.8,sandy,seedling,MEDIUM
26.5,83.9,0.0,27.9,sandy,vegetative,MEDIUM
34.5,29.9,13.6,70.8,loamy,seedling,LOW
34.7,60.9,0.0,53.5,loamy,fruiting,MEDIUM
38.9,78.6,11.6,63.1,clay,vegetative,LOW
20.7,56.3,0.0,40.4,clay,fruiting,MEDIUM
35.8,89.3,13.6,67.7,loamy,fruiting,LOW
18.4,92.4,0.0,56.6,sandy,vegetative,MEDIUM
20.3,41.9,0.0,31.0,clay,seedling,MEDIUM
35.8,28.4,0.0,41.6,sandy,fruiting,HIGH
37.1,27.4,0.0,26.1,sandy,vegetative,HIGH
20.3,88.7,0.0,5.0,clay,fruiting,MEDIUM
25.6,55.4,0.0,78.7,sandy,vegetative,MEDIUM
32.2,74.2,0.0,84.8,sandy,fruiting,MEDIUM
40.8,67.0,0.0,27.1,sandy,fruiting,HIGH
29.3,28.2,0.0,22.1,clay,flowering,MEDIUM
32.7,44.6,0.0,39.8,loamy,fruiting,MEDIUM
37.3,65.0,0.0,46.5,clay,fruiting,MEDIUM
20.7,49.2,2.8,39.5,sandy,fruiting,MEDIUM
28.1,53.8,0.0,39.4,loamy,flowering,MEDIUM
24.2,29.2,0.0,11.3,sandy,flowering,HIGH
20.9,54.3,0.0,53.0,clay,fruiting,MEDIUM
34.3,50.3,5.1,65.7,clay,vegetative,LOW
35.4,33.4,0.0,43.2,loamy,fruiting,HIGH
25.1,59.0,0.0,72.7,sandy,flowering,LOW
33.7,84.2,0.0,62.8,sandy,flowering,MEDIUM
28.7,80.9,0.0,62.1,loamy,flowering,LOW
26.9,67.1,0.0,29.0,clay,seedling,MEDIUM
39.4,49.2,1.2,32.2,sandy,vegetative,HIGH
27.8,46.8,0.0,47.8,sandy,fruiting,HIGH
34.5,34.8,27.6,58.5,clay,vegetative,LOW
18.7,52.2,0.0,60.1,clay,vegetative,LOW
20.8,91.9,13.9,59.2,sandy,fruiting,LOW
27.3,48.8,0.0,60.1,loamy,flowering,MEDIUM
28.6,46.2,0.0,12.2,clay,fruiting,HIGH
31.9,34.7,0.0,65.7,loamy,seedling,HIGH
32.9,39.1,0.0,49.8,sandy,fruiting,HIGH
30.8,85.9,1.1,58.6,loamy,seedling,MEDIUM
40.7,35.4,14.8,20.5,clay,fruiting,MEDIUM
24.9,39.2,0.0,69.0,loamy,seedling,MEDIUM
41.5,53.5,29.3,60.0,loamy,flowering,LOW
38.5,55.7,13.9,63.7,loamy,fruiting,LOW
33.0,89.8,0.6,31.7,clay,vegetative,MEDIUM
25.2,50.1,20.3,83.3,loamy,vegetative,LOW
25.1,26.0,0.0,64.4,loamy,fruiting,MEDIUM
33.8,78.6,0.0,41.8,loamy,seedling,MEDIUM
27.8,29.6,35.2,42.4,loamy,flowering,LOW
19.8,60.0,0.0,21.1,clay,fruiting,MEDIUM
23.6,44.7,14.3,56.7,clay,vegetative,LOW
23.4,69.8,4.9,5.0,loamy,vegetative,MEDIUM
32.1,68.7,0.8,55.0,clay,seedling,MEDIUM
31.3,61.4,0.0,33.7,loamy,seedling,HIGH
33.1,28.8,0.0,39.2,sandy,fruiting,HIGH
38.1,25.3,0.0,17.9,sandy,fruiting,HIGH
38.2,46.9,13.9,60.2,sandy,seedling,MEDIUM
20.1,73.1,2.7,69.6,loamy,fruiting,LOW
41.2,78.3,0.0,51.4,loamy,vegetative,MEDIUM
19.2,50.2,0.0,40.1,loamy,flowering,MEDIUM
26.9,28.7,9.2,67.4,loamy,fruiting,LOW
29.3,86.6,0.0,54.2,loamy,fruiting,MEDIUM
35.7,47.1,0.0,37.6,loamy,seedling,HIGH
26.8,29.1,10.2,52.9,loamy,seedling,LOW
29.8,53.3,0.0,47.5,clay,seedling,MEDIUM
34.3,46.8,28.0,79.0,loamy,vegetative,LOW
20.9,43.6,0.0,27.7,clay,seedling,MEDIUM
18.0,46.0,0.0,53.1,clay,seedling,MEDIUM
36.7,57.1,0.0,41.1,sandy,vegetative,MEDIUM
35.9,58.2,0.8,44.4,sandy,seedling,HIGH
41.1,30.3,0.0,63.4,clay,vegetative,MEDIUM
31.9,35.3,4.2,34.6,sandy,vegetative,MEDIUM
40.0,45.3,0.0,26.0,loamy,seedling,HIGH
21.2,92.1,2.9,48.9,clay,vegetative,LOW
37.4,57.2,0.0,16.9,loamy,flowering,HIGH
19.2,84.1,0.0,21.2,loamy,vegetative,MEDIUM
28.5,66.5,0.0,55.6,clay,seedling,MEDIUM
36.2,36.3,2.6,28.2,sandy,flowering,HIGH
31.6,79.0,0.0,23.6,sandy,seedling,HIGH
25.7,84.4,0.0,87.4,loamy,fruiting,LOW
20.8,45.2,0.0,38.3,loamy,vegetative,MEDIUM
27.4,77.8,0.0,36.2,sandy,vegetative,MEDIUM
31.5,50.1,7.4,52.3,sandy,flowering,MEDIUM
23.3,27.7,0.0,51.9,clay,seedling,MEDIUM
28.5,65.6,0.0,44.5,clay,seedling,MEDIUM
36.7,58.3,0.0,58.9,loamy,fruiting,MEDIUM
23.0,30.0,0.0,57.9,clay,flowering,MEDIUM
26.0,73.6,11.5,26.6,sandy,flowering,MEDIUM
28.2,27.6,0.0,35.9,sandy,fruiting,HIGH
41.4,40.8,0.0,52.4,loamy,seedling,HIGH
35.8,84.4,2.4,37.1,loamy,flowering,MEDIUM
26.9,88.1,0.0,80.2,clay,fruiting,LOW
19.9,63.1,0.0,61.7,clay,vegetative,LOW
25.1,75.0,0.0,60.9,loamy,vegetative,LOW
37.9,73.8,3.7,57.2,clay,flowering,MEDIUM
24.6,81.5,23.4,76.6,clay,fruiting,LOW
35.4,64.3,0.0,56.3,loamy,fruiting,MEDIUM
27.2,26.8,32.6,47.4,clay,flowering,LOW
34.9,82.2,0.0,56.6,loamy,vegetative,MEDIUM
22.3,81.0,9.0,48.6,sandy,flowering,LOW
25.0,86.0,3.5,74.6,loamy,vegetative,LOW
39.7,25.9,0.0,22.6,loamy,fruiting,HIGH
32.9,48.4,3.8,38.6,loamy,seedling,MEDIUM
34.5,48.3,0.8,65.0,loamy,flowering,MEDIUM
22.8,54.3,0.0,56.2,sandy,fruiting,MEDIUM
19.6,61.3,0.0,66.0,sandy,flowering,MEDIUM
28.1,49.3,0.0,31.5,loamy,flowering,MEDIUM
33.8,92.8,16.9,48.4,loamy,flowering,LOW
32.4,68.7,15.4,72.5,clay,seedling,LOW
35.0,67.7,7.7,60.1,clay,vegetative,LOW
22.9,66.1,0.0,22.4,sandy,vegetative,MEDIUM
28.8,92.0,2.3,49.1,clay,fruiting,LOW
20.2,77.4,0.0,81.5,loamy,vegetative,LOW
33.3,41.9,5.9,35.6,clay,fruiting,MEDIUM
24.5,42.3,0.8,40.2,clay,fruiting,MEDIUM
40.8,83.7,0.0,49.2,loamy,seedling,MEDIUM
35.8,76.7,5.7,67.4,sandy,flowering,MEDIUM
24.5,50.8,0.0,25.9,sandy,fruiting,HIGH
34.9,54.9,0.0,34.1,clay,vegetative,MEDIUM
28.7,26.5,0.0,38.9,loamy,flowering,HIGH
33.7,43.2,0.0,59.0,loamy,flowering,MEDIUM
37.5,73.0,0.0,95.0,loamy,flowering,MEDIUM
26.6,49.8,12.9,57.1,loamy,fruiting,LOW
26.5,60.4,0.0,52.3,loamy,flowering,MEDIUM
22.7,85.1,3.5,89.9,loamy,vegetative,LOW
21.8,72.2,0.0,67.6,sandy,vegetative,MEDIUM
30.4,36.3,5.2,38.2,loamy,seedling,MEDIUM
20.5,40.6,0.0,25.2,clay,vegetative,MEDIUM
23.3,92.2,0.0,83.7,sandy,vegetative,LOW
34.9,37.0,2.8,28.0,clay,fruiting,MEDIUM
32.5,33.2,0.0,60.9,loamy,flowering,MEDIUM
22.9,60.5,0.0,95.0,sandy,vegetative,LOW
33.1,73.2,0.0,51.8,loamy,vegetative,MEDIUM
38.2,59.0,0.0,27.7,loamy,vegetative,MEDIUM
27.3,81.2,7.0,69.5,loamy,seedling,LOW
41.2,29.7,5.7,11.1,clay,vegetative,MEDIUM
23.3,49.5,0.0,66.1,loamy,seedling,MEDIUM
35.0,25.6,0.0,54.8,sandy,flowering,HIGH
31.2,29.7,3.9,51.0,clay,vegetative,MEDIUM
21.4,72.0,0.0,55.3,clay,fruiting,LOW
39.8,78.1,0.0,22.5,sandy,seedling,HIGH
29.4,75.1,0.0,40.7,clay,flowering,LOW
39.8,60.5,0.0,50.3,loamy,fruiting,HIGH
37.1,44.0,3.6,24.5,loamy,flowering,HIGH
22.6,73.6,1.5,61.1,sandy,seedling,MEDIUM
36.3,38.1,0.0,49.5,loamy,fruiting,MEDIUM
18.9,71.7,0.0,56.0,sandy,seedling,MEDIUM
24.0,65.4,0.0,63.6,loamy,fruiting,MEDIUM
38.6,94.8,0.0,41.1,sandy,seedling,HIGH
36.8,64.6,0.0,54.1,sandy,vegetative,HIGH
36.3,27.7,4.3,51.1,clay,flowering,MEDIUM
31.9,94.3,0.0,54.8,sandy,vegetative,MEDIUM
40.3,90.0,20.3,68.3,sandy,fruiting,LOW
32.2,28.7,0.0,81.0,clay,vegetative,LOW
34.7,70.4,0.0,54.3,clay,fruiting,MEDIUM
28.9,71.7,4.3,79.0,loamy,fruiting,LOW
38.1,81.2,0.0,46.5,loamy,fruiting,MEDIUM
24.6,89.5,0.0,48.7,loamy,seedling,MEDIUM
20.0,67.5,0.0,61.3,clay,seedling,LOW
24.9,81.2,5.0,53.4,sandy,vegetative,LOW
38.3,29.4,5.7,42.8,loamy,seedling,MEDIUM
19.7,39.8,0.0,45.4,sandy,vegetative,MEDIUM
41.4,78.2,4.9,22.4,sandy,seedling,HIGH
23.6,34.1,0.0,60.7,sandy,seedling,MEDIUM
21.5,49.0,0.0,60.3,loamy,fruiting,LOW
37.3,34.6,3.1,43.4,clay,fruiting,MEDIUM
20.0,57.2,0.0,81.3,loamy,seedling,LOW
31.8,71.7,0.0,40.9,sandy,flowering,HIGH
22.7,59.3,9.9,75.1,clay,flowering,LOW
27.8,48.0,0.0,82.6,clay,fruiting,MEDIUM
29.8,70.1,1.5,52.3,sandy,vegetative,MEDIUM
22.4,44.5,0.0,30.1,loamy,vegetative,MEDIUM
27.0,80.8,5.9,43.9,loamy,seedling,MEDIUM
34.1,40.4,0.0,54.1,clay,vegetative,MEDIUM
36.0,35.6,0.0,26.5,clay,vegetative,MEDIUM
23.7,88.6,0.0,5.0,loamy,vegetative,MEDIUM
32.3,95.0,0.0,48.1,sandy,seedling,MEDIUM
32.8,88.7,0.0,7.8,sandy,flowering,HIGH
38.1,36.2,0.0,31.9,clay,flowering,MEDIUM
32.6,44.7,0.0,35.8,loamy,seedling,HIGH
36.5,41.6,0.0,44.8,loamy,flowering,HIGH
36.6,41.4,2.1,42.6,clay,fruiting,MEDIUM
32.7,72.5,13.5,40.2,loamy,fruiting,LOW
24.8,92.4,0.5,39.6,loamy,seedling,MEDIUM
28.6,43.3,0.0,59.4,clay,seedling,MEDIUM
19.5,31.5,18.8,66.5,loamy,flowering,LOW
23.9,58.0,0.0,32.9,clay,flowering,MEDIUM
27.7,86.9,4.5,37.2,sandy,seedling,MEDIUM
22.4,48.9,2.4,19.2,sandy,seedling,HIGH
29.8,46.0,0.0,63.5,clay,flowering,MEDIUM
26.3,76.3,0.0,62.4,clay,seedling,LOW
27.6,47.9,0.0,28.1,sandy,fruiting,HIGH
20.8,93.6,1.5,52.5,clay,fruiting,LOW
30.8,32.2,22.4,30.1,loamy,vegetative,LOW
19.2,28.7,3.6,61.6,clay,fruiting,LOW
26.6,82.6,0.0,38.5,clay,fruiting,MEDIUM
23.0,30.9,0.0,71.6,sandy,fruiting,MEDIUM
37.8,51.9,0.0,45.8,loamy,fruiting,HIGH
30.8,27.3,2.6,49.7,loamy,flowering,MEDIUM
35.2,29.8,30.3,57.6,clay,seedling,LOW
26.5,63.5,2.3,26.3,sandy,flowering,MEDIUM
20.5,49.8,0.0,28.4,loamy,fruiting,MEDIUM
21.8,82.9,9.2,30.1,loamy,fruiting,LOW
30.1,76.2,37.2,80.7,clay,seedling,LOW
33.1,53.2,0.0,59.1,loamy,seedling,MEDIUM
21.5,83.3,0.0,46.7,loamy,flowering,MEDIUM
38.3,58.9,0.0,40.3,loamy,seedling,HIGH
35.5,49.2,0.0,31.0,loamy,seedling,HIGH
41.8,26.8,0.0,16.7,clay,fruiting,HIGH
25.4,63.3,0.0,56.8,loamy,seedling,MEDIUM
20.0,52.5,1.0,42.1,sandy,flowering,MEDIUM
18.6,83.4,6.4,52.6,clay,fruiting,LOW
19.2,27.8,0.0,48.4,clay,fruiting,MEDIUM
32.1,52.8,4.9,58.2,sandy,vegetative,MEDIUM
